epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.135,0.46588,1.01482,0.4418,0.52907,1.10855,0.68421,0.85135,0.7297,0.46533,0.71528,0.89189,0.7593,0.55161,1.06845,0.92317,0.03101,1.22995,1.79846,0.000662162,0.000662162,0.000662162
2,76.0722,0.43881,0.70046,0.31864,0.42778,1.03694,0.96906,0.98761,0.9923,0.86235,0.93223,0.95946,0.9348,0.562,0.60829,1.3639,0.39494,0.50965,0.901,0.00126305,0.00126305,0.00126305
3,113.777,0.38479,0.58607,0.28794,0.37898,1.0101,0.94304,0.9955,0.99301,0.60678,0.94334,0.9955,0.99367,0.90267,1.21962,0.34577,0.07567,1.28143,2.15584,0.00179794,0.00179794,0.00179794
4,151.589,0.35498,0.47538,0.25233,0.33244,0.97594,0.99748,1,0.995,0.97626,0.99748,1,0.995,0.90099,0.30194,0.34763,0.23233,0.3876,0.56784,0.001703,0.001703,0.001703
5,189.161,0.26994,0.42257,0.24047,0.27321,0.94142,0.99739,0.99099,0.995,0.97029,0.99739,0.99099,0.995,0.91041,0.26354,0.32914,0.07886,0.24784,0.54618,0.001604,0.001604,0.001604
6,226.686,0.23576,0.40861,0.2294,0.2633,0.92246,0.9994,1,0.995,0.98248,0.9994,1,0.995,0.9443,0.25911,0.27147,0.04612,0.27017,0.54881,0.001505,0.001505,0.001505
7,264.338,0.22716,0.35151,0.21803,0.2466,0.91225,0.99967,1,0.995,0.98398,0.99967,1,0.995,0.80391,0.33927,0.64765,0.15625,0.28665,0.6069,0.001406,0.001406,0.001406
8,301.561,0.21006,0.37333,0.21854,0.22524,0.90797,0.99499,0.9955,0.995,0.99497,0.99499,0.9955,0.995,0.95655,0.25253,0.23871,0.1319,0.36735,0.5446,0.001307,0.001307,0.001307
9,339.132,0.17624,0.3233,0.20629,0.19961,0.89683,0.99973,1,0.995,0.87877,0.99973,1,0.995,0.97572,0.23767,0.22908,0.08391,0.33087,0.52406,0.001208,0.001208,0.001208
10,376.423,0.16097,0.29447,0.20101,0.18942,0.89262,0.99904,1,0.995,0.92405,0.99904,1,0.995,0.96767,0.19518,0.20655,0.05065,0.27498,0.51281,0.001109,0.001109,0.001109
11,430.047,0.13666,0.24292,0.05602,0.14806,0.86884,0.9968,1,0.995,0.98915,0.9968,1,0.995,0.9804,0.24012,0.18915,0.02263,0.22706,0.58182,0.00101,0.00101,0.00101
12,467.348,0.1379,0.22765,0.04632,0.148,0.8665,0.99975,1,0.995,0.94907,0.99975,1,0.995,0.98411,0.21605,0.15662,0.0374,0.32928,0.45167,0.000911,0.000911,0.000911
13,504.277,0.12134,0.21651,0.04798,0.12627,0.86616,0.99977,1,0.995,0.99481,0.99977,1,0.995,0.98572,0.22256,0.12946,0.03479,0.19846,0.54637,0.000812,0.000812,0.000812
14,541.234,0.10407,0.19788,0.03934,0.11208,0.85108,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98835,0.17156,0.12818,0.02901,0.20051,0.46974,0.000713,0.000713,0.000713
15,578.404,0.10074,0.17992,0.03871,0.10797,0.8516,0.99976,1,0.995,0.99494,0.99976,1,0.995,0.9867,0.16154,0.12821,0.03062,0.17181,0.45508,0.000614,0.000614,0.000614
16,615.125,0.09688,0.17844,0.03807,0.10344,0.85645,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98759,0.18091,0.13626,0.05836,0.18651,0.49372,0.000515,0.000515,0.000515
17,652.238,0.07576,0.1714,0.03338,0.08564,0.84911,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98717,0.13742,0.1185,0.02439,0.14606,0.43772,0.000416,0.000416,0.000416
18,688.837,0.06933,0.15881,0.03717,0.07823,0.83963,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98384,0.11941,0.11364,0.02619,0.1461,0.41707,0.000317,0.000317,0.000317
19,725.703,0.06147,0.15606,0.04035,0.07147,0.839,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98902,0.14036,0.10882,0.03636,0.15662,0.44662,0.000218,0.000218,0.000218
20,762.946,0.04976,0.14668,0.03501,0.06166,0.83101,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98512,0.09895,0.11096,0.02399,0.12311,0.39966,0.000119,0.000119,0.000119
