epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0477,0.46059,0.94972,0.42599,0.49895,1.10485,0.23107,0.33032,0.13842,0.02401,0.29849,0.43439,0.2622,0.07735,3.64159,3.79803,0.49706,2.06822,5.54575,0.000662162,0.000662162,0.000662162
2,75.6449,0.45451,0.6484,0.31186,0.44702,1.05643,0.99365,0.99548,0.995,0.94926,0.99365,0.99548,0.995,0.75789,0.33226,0.71305,0.07897,0.67759,0.62477,0.00126305,0.00126305,0.00126305
3,112.699,0.36573,0.55332,0.29636,0.36486,0.98907,0.98658,0.99768,0.99486,0.92312,0.98658,0.99768,0.99486,0.90868,0.51367,0.39617,0.05274,0.44032,0.95722,0.00179794,0.00179794,0.00179794
4,149.699,0.32116,0.48621,0.25764,0.32862,0.95655,0.99838,1,0.995,0.99493,0.99838,1,0.995,0.86945,0.19894,0.51635,0.42732,0.37885,0.4964,0.001703,0.001703,0.001703
5,186.837,0.28571,0.43495,0.23654,0.2917,0.94658,0.97306,0.98055,0.99376,0.97706,0.97306,0.98055,0.99376,0.93348,0.28616,0.30054,0.10244,0.38991,0.57856,0.001604,0.001604,0.001604
6,223.906,0.24555,0.38922,0.21891,0.26368,0.92215,1,0.99798,0.995,0.99487,1,0.99798,0.995,0.8571,0.26298,0.46202,0.0403,0.34072,0.52192,0.001505,0.001505,0.001505
7,260.62,0.21141,0.34819,0.21027,0.2375,0.91044,0.99942,1,0.995,0.99471,0.99942,1,0.995,0.9488,0.24094,0.27746,0.08657,0.22824,0.58118,0.001406,0.001406,0.001406
8,298.088,0.21023,0.35829,0.21693,0.23951,0.916,0.99953,1,0.995,0.995,0.99953,1,0.995,0.95713,0.17115,0.2224,0.05135,0.28901,0.4452,0.001307,0.001307,0.001307
9,335.172,0.18876,0.30448,0.20601,0.21188,0.89868,0.99947,1,0.995,0.95305,0.99947,1,0.995,0.95824,0.19716,0.20662,0.07878,0.29495,0.50263,0.001208,0.001208,0.001208
10,371.862,0.16601,0.29436,0.20658,0.19451,0.89148,0.99971,1,0.995,0.995,0.99971,1,0.995,0.95496,0.12668,0.23131,0.04951,0.17973,0.43109,0.001109,0.001109,0.001109
11,424.801,0.13058,0.27357,0.06286,0.15482,0.86848,0.99964,1,0.995,0.995,0.99964,1,0.995,0.97241,0.18936,0.21574,0.06315,0.21818,0.44894,0.00101,0.00101,0.00101
12,461.716,0.13606,0.23769,0.04858,0.14304,0.86496,0.99976,1,0.995,0.995,0.99976,1,0.995,0.97347,0.18528,0.17359,0.03746,0.24912,0.44463,0.000911,0.000911,0.000911
13,498.755,0.13006,0.21079,0.04843,0.13469,0.85905,0.99976,1,0.995,0.995,0.99976,1,0.995,0.97479,0.1618,0.19879,0.04068,0.19175,0.4204,0.000812,0.000812,0.000812
14,535.737,0.11017,0.19684,0.04275,0.11974,0.85916,0.99975,1,0.995,0.995,0.99975,1,0.995,0.97941,0.14998,0.14881,0.02222,0.1984,0.42666,0.000713,0.000713,0.000713
15,572.873,0.10347,0.17177,0.03488,0.11114,0.85283,0.99973,1,0.995,0.995,0.99973,1,0.995,0.98839,0.15572,0.14263,0.02097,0.16081,0.45153,0.000614,0.000614,0.000614
16,609.916,0.09677,0.17381,0.03819,0.10632,0.84879,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98017,0.16097,0.13764,0.0201,0.18367,0.46164,0.000515,0.000515,0.000515
17,646.563,0.09175,0.1742,0.0391,0.0984,0.85298,1,1,0.995,0.995,1,1,0.995,0.98869,0.15428,0.13183,0.02827,0.21409,0.44077,0.000416,0.000416,0.000416
18,683.393,0.08222,0.16446,0.03614,0.08792,0.84736,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98241,0.13207,0.13704,0.02296,0.12773,0.44073,0.000317,0.000317,0.000317
19,720.08,0.06894,0.15165,0.03421,0.07725,0.8377,1,1,0.995,0.995,1,1,0.995,0.98387,0.0966,0.13188,0.02274,0.11296,0.38705,0.000218,0.000218,0.000218
20,756.643,0.05916,0.14258,0.03297,0.07076,0.83475,1,1,0.995,0.995,1,1,0.995,0.98519,0.08647,0.12478,0.02148,0.10824,0.39034,0.000119,0.000119,0.000119
