epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.553,0.47587,0.97592,0.4322,0.5127,1.11836,0.65984,0.60181,0.59742,0.24097,0.70546,0.70446,0.76234,0.58785,2.45347,0.88047,0.10595,1.85941,4.11827,0.000662162,0.000662162,0.000662162
2,82.1732,0.48129,0.66311,0.30895,0.46161,1.07569,0.96316,0.94641,0.98535,0.85315,0.96316,0.94641,0.98535,0.83298,0.61804,0.60143,0.09279,0.75289,0.94773,0.00126305,0.00126305,0.00126305
3,122.14,0.4199,0.55515,0.27806,0.39156,1.02249,0.96976,1,0.99297,0.89705,0.96976,1,0.99297,0.87285,0.46774,0.45286,0.09631,0.63698,0.84728,0.00179794,0.00179794,0.00179794
4,161.996,0.36693,0.49819,0.2537,0.35056,0.97599,0.99888,1,0.995,0.97026,0.99888,1,0.995,0.90455,0.29568,0.39133,0.16001,0.26469,0.56957,0.001703,0.001703,0.001703
5,202.131,0.26805,0.41066,0.23294,0.28128,0.93851,0.98934,1,0.995,0.96598,0.98934,1,0.995,0.89419,0.27634,0.39633,0.1272,0.33479,0.60998,0.001604,0.001604,0.001604
6,241,0.22981,0.40609,0.2262,0.24654,0.91645,0.99936,1,0.995,0.99496,0.99936,1,0.995,0.89558,0.21164,0.38992,0.0551,0.24483,0.48238,0.001505,0.001505,0.001505
7,279.461,0.22196,0.34996,0.2135,0.24578,0.91211,0.99976,1,0.995,0.95714,0.99976,1,0.995,0.93966,0.27231,0.29972,0.07444,0.32893,0.61473,0.001406,0.001406,0.001406
8,318.045,0.19461,0.34651,0.21184,0.22429,0.90688,0.99913,1,0.995,0.99411,0.99913,1,0.995,0.97176,0.25051,0.19748,0.07144,0.28755,0.5217,0.001307,0.001307,0.001307
9,356.114,0.18143,0.32398,0.21075,0.2124,0.89924,0.98143,1,0.995,0.995,0.98143,1,0.995,0.96495,0.1821,0.21547,0.13347,0.24117,0.50657,0.001208,0.001208,0.001208
10,393.635,0.16161,0.29596,0.20274,0.19092,0.8911,0.99975,1,0.995,0.99495,0.99975,1,0.995,0.97333,0.18023,0.20608,0.08656,0.19748,0.4868,0.001109,0.001109,0.001109
11,448.705,0.15074,0.25468,0.06042,0.16352,0.88136,0.99976,1,0.995,0.995,0.99976,1,0.995,0.95727,0.19194,0.24898,0.04938,0.17939,0.47332,0.00101,0.00101,0.00101
12,485.465,0.14337,0.24929,0.05327,0.14558,0.87261,0.99967,1,0.995,0.99374,0.99967,1,0.995,0.97703,0.19419,0.19452,0.04867,0.23031,0.45307,0.000911,0.000911,0.000911
13,522.621,0.13288,0.20924,0.04774,0.13672,0.8607,0.99972,1,0.995,0.99494,0.99972,1,0.995,0.97465,0.21216,0.18213,0.05014,0.18929,0.47575,0.000812,0.000812,0.000812
14,559.444,0.11917,0.20031,0.04922,0.12921,0.86186,0.9997,1,0.995,0.995,0.9997,1,0.995,0.98757,0.21121,0.16417,0.03074,0.19225,0.48663,0.000713,0.000713,0.000713
15,596.55,0.10262,0.18546,0.03427,0.11323,0.85162,0.99975,1,0.995,0.995,0.99975,1,0.995,0.9787,0.1438,0.1554,0.04116,0.16385,0.44203,0.000614,0.000614,0.000614
16,633.375,0.09107,0.17486,0.03264,0.10231,0.83892,0.99975,1,0.995,0.995,0.99975,1,0.995,0.97362,0.14656,0.17492,0.0387,0.1592,0.44763,0.000515,0.000515,0.000515
17,670.3,0.08147,0.17983,0.0431,0.09179,0.84659,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98502,0.13302,0.1405,0.0308,0.15113,0.42383,0.000416,0.000416,0.000416
18,707.671,0.0728,0.16823,0.03516,0.08197,0.8438,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98383,0.14396,0.13665,0.02989,0.15535,0.43576,0.000317,0.000317,0.000317
19,744.674,0.06276,0.15383,0.04161,0.07458,0.83736,1,1,0.995,0.995,1,1,0.995,0.98807,0.12416,0.13064,0.04078,0.14981,0.42448,0.000218,0.000218,0.000218
20,781.767,0.05318,0.14772,0.03656,0.06768,0.83635,1,1,0.995,0.995,1,1,0.995,0.98491,0.10201,0.12948,0.02948,0.13632,0.4021,0.000119,0.000119,0.000119
