epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.961,0.48351,0.96039,0.44178,0.51351,1.12513,0.83243,0.71041,0.79037,0.33985,0.84035,0.78599,0.8868,0.68378,2.00828,0.86305,0.25174,2.25406,1.86108,0.000662162,0.000662162,0.000662162
2,77.5891,0.44936,0.64626,0.31119,0.45001,1.04955,0.50867,0.66968,0.52049,0.25012,0.63317,0.71073,0.74745,0.39806,1.53691,1.15181,0.30794,2.39579,2.404,0.00126305,0.00126305,0.00126305
3,115.451,0.39725,0.56498,0.27925,0.37835,1.01091,0.99405,1,0.995,0.84695,0.95806,0.9638,0.94432,0.44734,0.69856,1.82987,0.24562,0.61146,1.03633,0.00179794,0.00179794,0.00179794
4,153.348,0.32375,0.49152,0.25236,0.32881,0.9593,0.99595,1,0.995,0.9501,0.99595,1,0.995,0.92163,0.37294,0.33234,0.13047,0.40846,0.63158,0.001703,0.001703,0.001703
5,191.136,0.27668,0.43513,0.23815,0.28483,0.94444,0.99857,1,0.995,0.983,0.99857,1,0.995,0.89975,0.22031,0.36655,0.20693,0.23635,0.49707,0.001604,0.001604,0.001604
6,229.003,0.23793,0.4017,0.22402,0.26405,0.92065,0.99361,1,0.995,0.98173,0.99361,1,0.995,0.7277,0.265,0.88164,0.12016,0.24396,0.52263,0.001505,0.001505,0.001505
7,266.598,0.20981,0.38306,0.21234,0.23743,0.9098,0.99932,1,0.995,0.9942,0.99932,1,0.995,0.9588,0.1714,0.24422,0.0858,0.15969,0.46069,0.001406,0.001406,0.001406
8,304.591,0.19799,0.33621,0.20814,0.23195,0.90656,0.99522,1,0.995,0.99252,0.99522,1,0.995,0.94589,0.24727,0.27217,0.09017,0.41471,0.52003,0.001307,0.001307,0.001307
9,341.623,0.18623,0.31376,0.20613,0.21207,0.89885,0.99942,1,0.995,0.995,0.99942,1,0.995,0.94992,0.20372,0.24423,0.02976,0.22718,0.51236,0.001208,0.001208,0.001208
10,378.319,0.16361,0.29981,0.2042,0.19474,0.8887,0.99959,1,0.995,0.995,0.99959,1,0.995,0.93895,0.19951,0.28606,0.03554,0.20223,0.50743,0.001109,0.001109,0.001109
11,431.271,0.1411,0.25644,0.05483,0.16193,0.87274,0.99976,1,0.995,0.99484,0.99976,1,0.995,0.95806,0.25237,0.25608,0.02971,0.30532,0.48182,0.00101,0.00101,0.00101
12,467.732,0.13581,0.26241,0.05407,0.14195,0.86813,0.9984,1,0.995,0.97963,0.9984,1,0.995,0.97688,0.21329,0.19293,0.04218,0.21872,0.49092,0.000911,0.000911,0.000911
13,504.733,0.12718,0.20784,0.04535,0.12676,0.85755,0.99973,1,0.995,0.995,0.99973,1,0.995,0.96899,0.21583,0.18695,0.07188,0.18531,0.50388,0.000812,0.000812,0.000812
14,541.479,0.12148,0.20574,0.04684,0.12189,0.86329,0.99928,1,0.995,0.97934,0.99928,1,0.995,0.97099,0.20747,0.16359,0.02426,0.21873,0.49251,0.000713,0.000713,0.000713
15,578.272,0.11147,0.1834,0.03396,0.11793,0.85253,0.99975,1,0.995,0.98206,0.99975,1,0.995,0.98114,0.17916,0.17205,0.04162,0.19884,0.48078,0.000614,0.000614,0.000614
16,615.788,0.10193,0.17579,0.03532,0.10709,0.84742,0.99976,1,0.995,0.995,0.99976,1,0.995,0.96448,0.17556,0.1654,0.02242,0.19154,0.45599,0.000515,0.000515,0.000515
17,653.403,0.0814,0.16664,0.04072,0.09139,0.84806,0.99976,1,0.995,0.995,0.99976,1,0.995,0.98162,0.1582,0.14095,0.02527,0.17605,0.4548,0.000416,0.000416,0.000416
18,690.791,0.07534,0.16514,0.0363,0.08323,0.84453,0.99977,1,0.995,0.995,0.99977,1,0.995,0.97935,0.1589,0.15197,0.04926,0.17414,0.46817,0.000317,0.000317,0.000317
19,727.975,0.06437,0.16125,0.03973,0.07319,0.83736,0.99976,1,0.995,0.995,0.99976,1,0.995,0.98023,0.1438,0.13377,0.02766,0.1554,0.45078,0.000218,0.000218,0.000218
20,765.15,0.05755,0.15138,0.03649,0.06746,0.83906,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98176,0.12704,0.12724,0.02695,0.1485,0.42196,0.000119,0.000119,0.000119
